OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SZ-21 MODULE,2025-246C,2026-01-16T13:01:39.064800,15.64574563,.00023099,41.4742,163.4092,185.0675,175.0142,0,U,66515,999,989,.26293766E-3,.25874E-3,0
SHENZHOU-22,2025-272A,2026-01-16T14:34:27.969024,15.60562549,.00112662,41.4653,164.7931,297.5042,62.4652,0,U,66645,999,26764,.18057507E-3,.15077E-3,0
SOYUZ-MS 28,2025-275A,2026-01-16T08:52:15.244032,15.49326051,.00077838,51.6334,331.0355,24.7534,335.3826,0,U,66664,999,128,.18173329E-3,.9695E-4,0
DUPLEX,1998-067XS,2026-01-16T01:25:00.430464,15.52518513,.00022571,51.6323,331.9628,18.8611,341.2462,0,U,66906,999,694,.31582442E-3,.19299E-3,0
1998-067XT,1998-067XT,2026-01-16T13:59:09.697632,15.56548970,.00036349,51.6307,328.7111,69.7013,290.4369,0,U,66907,999,703,.91387315E-3,.66206E-3,0
1998-067XU,1998-067XU,2026-01-16T13:57:55.559520,15.56485324,.00035074,51.6314,328.7027,64.7456,295.3898,0,U,66908,999,703,.78535791E-3,.56622E-3,0
SILVERSAT,1998-067XV,2026-01-16T06:02:24.739872,15.57210721,.00038126,51.6315,330.2483,73.9906,286.1506,0,U,66909,999,698,.90515861E-3,.67226E-3,0
1998-067XW,1998-067XW,2026-01-16T06:05:05.919936,15.56802316,.00025669,51.6297,330.2591,48.4217,311.6994,0,U,66910,999,698,.79940034E-3,.58338E-3,0
1998-067XX,1998-067XX,2026-01-16T13:23:27.822624,15.58063585,.00026016,51.6292,328.5436,72.8176,287.3101,0,U,66911,999,702,.11064031E-2,.85148E-3,0
1998-067XY,1998-067XY,2026-01-16T06:45:46.004544,15.55032427,.00033844,51.6311,330.4500,49.8415,310.2872,0,U,66912,999,697,.6747417E-3,.45958E-3,0
